function_name,doc_url,has_ir2test,has_quality_metrics,has_baseline_test
loc,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.loc.html,False,True,False
iloc,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.iloc.html,False,True,False
head,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.head.html,False,True,False
tail,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.tail.html,False,False,False
filter,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.filter.html,False,False,False
query,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.query.html,False,False,False
where,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.where.html,False,False,False
mask,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.mask.html,False,False,False
isin,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.isin.html,False,False,False
isna,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.isna.html,False,False,False
notna,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.notna.html,False,False,False
sum,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.sum.html,False,False,False
mean,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.mean.html,False,False,False
median,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.median.html,False,False,False
min,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.min.html,False,False,False
max,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.max.html,False,False,False
describe,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.describe.html,False,False,False
count,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.count.html,False,False,False
std,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.std.html,False,False,False
var,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.var.html,False,False,False
corr,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.corr.html,False,False,False
groupby,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.groupby.html,False,False,False
agg,https://pandas.pydata.org/pandas-docs/version/3.0.0/reference/api/pandas.DataFrame.agg.html,False,False,False
